[+] PPP: Beggining PIGA policy parsing and loading...
[+] PPP: Policy successfully parsed. Setting up in the kernel...
[+] PPP: PIGA policy loadded :
[+] 	240853 signatures have been loaded
[+] 	156946 signatures have been ignored
[+] Policy stats : '<name> (<uint>): <count>'
[+] 	SID stats :
[+] 		sysadm_u:sysadm_r:bootloader_t (397): 1573
[+] 		sysadm_u:sysadm_r:checkpolicy_t (469): 70
[+] 		sysadm_u:sysadm_r:chfn_t (283): 212
[+] 		sysadm_u:sysadm_r:chkpwd_t (588): 962
[+] 		sysadm_u:sysadm_r:consoletype_t (448): 192
[+] 		sysadm_u:sysadm_r:cronjob_t (299): 48
[+] 		sysadm_u:sysadm_r:depmod_t (444): 333
[+] 		sysadm_u:sysadm_r:dhcpc_t (318): 2017
[+] 		sysadm_u:sysadm_r:fsadm_t (419): 153
[+] 		sysadm_u:sysadm_r:gcc_config_t (372): 425
[+] 		sysadm_u:sysadm_r:gpg_agent_t (0): 575
[+] 		sysadm_u:sysadm_r:gpg_helper_t (0): 120
[+] 		sysadm_u:sysadm_r:gpg_pinentry_t (0): 191
[+] 		sysadm_u:sysadm_r:gpg_t (0): 846
[+] 		sysadm_u:sysadm_r:groupadd_t (316): 834
[+] 		sysadm_u:sysadm_r:hostname_t (374): 191
[+] 		sysadm_u:sysadm_r:hwclock_t (375): 95
[+] 		sysadm_u:sysadm_r:iceauth_t (0): 70
[+] 		sysadm_u:sysadm_r:ifconfig_t (357): 1439
[+] 		sysadm_u:sysadm_r:insmod_t (383): 6786
[+] 		sysadm_u:sysadm_r:iptables_t (358): 1055
[+] 		sysadm_u:sysadm_r:java_t (0): 177
[+] 		sysadm_u:sysadm_r:ldconfig_t (371): 379
[+] 		sysadm_u:sysadm_r:load_policy_t (594): 379
[+] 		sysadm_u:sysadm_r:lvm_t (398): 1189
[+] 		sysadm_u:sysadm_r:mdadm_t (360): 70
[+] 		sysadm_u:sysadm_r:mount_t (572): 2354
[+] 		sysadm_u:sysadm_r:netutils_t (442): 191
[+] 		sysadm_u:sysadm_r:newrole_t (431): 354
[+] 		sysadm_u:sysadm_r:nscd_t (339): 596
[+] 		sysadm_u:sysadm_r:pam_t (570): 70
[+] 		sysadm_u:sysadm_r:passwd_t (340): 354
[+] 		sysadm_u:sysadm_r:ping_t (319): 191
[+] 		sysadm_u:sysadm_r:portage_fetch_t (356): 70
[+] 		sysadm_u:sysadm_r:portage_sandbox_t (370): 232
[+] 		sysadm_u:sysadm_r:portage_t (317): 4493
[+] 		sysadm_u:sysadm_r:run_init_t (239): 37854
[+] 		sysadm_u:sysadm_r:semanage_t (492): 1544
[+] 		sysadm_u:sysadm_r:setfiles_t (491): 692
[+] 		sysadm_u:sysadm_r:ssh_t (298): 212
[+] 		sysadm_u:sysadm_r:sysadm_dbusd_t (0): 70
[+] 		sysadm_u:sysadm_r:sysadm_passwd_t (341): 212
[+] 		sysadm_u:sysadm_r:sysadm_ssh_agent_t (377): 80
[+] 		sysadm_u:sysadm_r:sysadm_su_t (392): 354
[+] 		sysadm_u:sysadm_r:sysadm_sudo_t (0): 212
[+] 		sysadm_u:sysadm_r:sysadm_t (238): 59092
[+] 		sysadm_u:sysadm_r:traceroute_t (496): 95
[+] 		sysadm_u:sysadm_r:update_modules_t (399): 1170
[+] 		sysadm_u:sysadm_r:updpwd_t (591): 202
[+] 		sysadm_u:sysadm_r:user_home_t (0): 945
[+] 		sysadm_u:sysadm_r:user_mail_t (412): 70
[+] 		sysadm_u:sysadm_r:user_mozilla_t (0): 611
[+] 		sysadm_u:sysadm_r:user_tmp_t (0): 901
[+] 		sysadm_u:sysadm_r:useradd_t (338): 2170
[+] 		sysadm_u:sysadm_r:utempter_t (497): 70
[+] 		sysadm_u:sysadm_r:xauth_t (0): 1348
[+] 		sysadm_u:sysadm_r:xserver_t (0): 3349
[+] 		system_u:object_r:admin_passwd_exec_t (269): 887
[+] 		system_u:object_r:afs_bos_client_packet_t (557): 411
[+] 		system_u:object_r:afs_fs_client_packet_t (349): 411
[+] 		system_u:object_r:afs_ka_client_packet_t (471): 411
[+] 		system_u:object_r:afs_pt_client_packet_t (553): 411
[+] 		system_u:object_r:afs_vl_client_packet_t (538): 411
[+] 		system_u:object_r:agentx_client_packet_t (542): 411
[+] 		system_u:object_r:amanda_client_packet_t (502): 411
[+] 		system_u:object_r:amavisd_recv_client_packet_t (436): 411
[+] 		system_u:object_r:amavisd_send_client_packet_t (509): 411
[+] 		system_u:object_r:anacron_exec_t (262): 887
[+] 		system_u:object_r:anon_inodefs_t (35): 823
[+] 		system_u:object_r:aol_client_packet_t (456): 411
[+] 		system_u:object_r:apcupsd_client_packet_t (433): 411
[+] 		system_u:object_r:asterisk_client_packet_t (416): 411
[+] 		system_u:object_r:audisp_exec_t (242): 887
[+] 		system_u:object_r:audit_client_packet_t (451): 411
[+] 		system_u:object_r:auditctl_exec_t (258): 887
[+] 		system_u:object_r:auth_client_packet_t (369): 411
[+] 		system_u:object_r:autofs_t (221): 1733
[+] 		system_u:object_r:bgp_client_packet_t (561): 411
[+] 		system_u:object_r:bin_t (46): 1087
[+] 		system_u:object_r:bootloader_exec_t (209): 887
[+] 		system_u:object_r:certmaster_client_packet_t (512): 411
[+] 		system_u:object_r:checkpolicy_exec_t (264): 887
[+] 		system_u:object_r:chfn_exec_t (267): 887
[+] 		system_u:object_r:chkpwd_exec_t (137): 965
[+] 		system_u:object_r:cifs_t (232): 8535
[+] 		system_u:object_r:clamd_client_packet_t (401): 411
[+] 		system_u:object_r:clawsmail_exec_t (0): 458
[+] 		system_u:object_r:clawsmail_plugins_t (0): 17
[+] 		system_u:object_r:client_packet_t (558): 465
[+] 		system_u:object_r:clockspeed_client_packet_t (373): 411
[+] 		system_u:object_r:cluster_client_packet_t (549): 411
[+] 		system_u:object_r:comsat_client_packet_t (495): 411
[+] 		system_u:object_r:consoletype_exec_t (271): 887
[+] 		system_u:object_r:context_exec_t (0): 442
[+] 		system_u:object_r:context_lib_t (0): 205
[+] 		system_u:object_r:crack_exec_t (253): 887
[+] 		system_u:object_r:crontab_exec_t (249): 887
[+] 		system_u:object_r:cvs_client_packet_t (548): 411
[+] 		system_u:object_r:cyphesis_client_packet_t (514): 411
[+] 		system_u:object_r:dbskkd_client_packet_t (378): 411
[+] 		system_u:object_r:dbusd_exec_t (0): 915
[+] 		system_u:object_r:dcc_client_packet_t (328): 411
[+] 		system_u:object_r:dccm_client_packet_t (534): 411
[+] 		system_u:object_r:depmod_exec_t (241): 887
[+] 		system_u:object_r:dhcp_etc_t (589): 7
[+] 		system_u:object_r:dhcpc_client_packet_t (523): 411
[+] 		system_u:object_r:dhcpd_client_packet_t (545): 411
[+] 		system_u:object_r:dict_client_packet_t (457): 411
[+] 		system_u:object_r:distccd_client_packet_t (402): 411
[+] 		system_u:object_r:dmesg_exec_t (69): 887
[+] 		system_u:object_r:dns_client_packet_t (530): 559
[+] 		system_u:object_r:dosfs_t (237): 1733
[+] 		system_u:object_r:ecryptfs_t (256): 1733
[+] 		system_u:object_r:etc_t (43): 991
[+] 		system_u:object_r:faillog_t (567): 35
[+] 		system_u:object_r:fingerd_client_packet_t (284): 411
[+] 		system_u:object_r:flash_plugins_exec_t (0): 185
[+] 		system_u:object_r:fsadm_exec_t (87): 887
[+] 		system_u:object_r:ftp_client_packet_t (359): 465
[+] 		system_u:object_r:ftp_data_client_packet_t (524): 411
[+] 		system_u:object_r:fusefs_t (274): 1733
[+] 		system_u:object_r:gatekeeper_client_packet_t (526): 411
[+] 		system_u:object_r:gcc_config_exec_t (212): 887
[+] 		system_u:object_r:getty_exec_t (132): 887
[+] 		system_u:object_r:giftd_client_packet_t (430): 411
[+] 		system_u:object_r:gopher_client_packet_t (400): 411
[+] 		system_u:object_r:gpg_agent_exec_t (0): 904
[+] 		system_u:object_r:gpg_agent_tmp_t (0): 3295
[+] 		system_u:object_r:gpg_exec_t (0): 903
[+] 		system_u:object_r:gpg_helper_exec_t (0): 887
[+] 		system_u:object_r:gpgconf_exec_t (0): 15
[+] 		system_u:object_r:gpgsm_exec_t (0): 15
[+] 		system_u:object_r:gpsd_client_packet_t (486): 411
[+] 		system_u:object_r:groupadd_exec_t (260): 887
